time,open,high,low,close,tick_volume,spread,real_volume,SMA_10,RSI_14,EMA_20,VWAP_14,OBV,ATR_14
1685664000,26898.28,27303.41,26488.07,27203.19,104511,0,0,27060.468,48.84130782,27220.46047,,1.84467E+19,854.2220729
1685750400,27206.25,27332.54,27032.37,27064.75,70390,0,0,27127.428,47.46070569,27205.6309,,1.84467E+19,814.6469248
1685836800,27077.55,27310.43,26919.12,27239.6,69231,157,0,27202.555,49.40592962,27208.86605,,1.84467E+19,784.408573
1685923200,27250.19,27460.02,25381.88,25624.87,122368,0,0,27088.408,36.10970667,27058.00929,,1.84467E+19,876.8179607
1686009600,25606.13,27229.19,25341.9,26969.31,100625,0,0,27109.979,48.52994755,27049.56174,,1.84467E+19,948.9945349
1686096000,26993.92,27394.8,26250.94,26366.99,128822,0,0,26990.243,44.36853504,26984.5549,,1.84467E+19,962.9134967
1686182400,26355.23,26823.61,26123.09,26652.46,101035,15,0,26886.553,46.70127146,26952.92682,,1.84467E+19,944.1711041
1686268800,26628.96,26783.34,26272.09,26450.1,119093,0,0,26754.512,45.25270444,26905.03855,,1.84467E+19,913.2481681
1686355200,26427.07,26529.95,25346.48,25780.08,146661,333,0,26621.595,40.74615352,26797.89964,,1.84467E+19,932.5497275
1686441600,25737.6,26213.38,25649.9,26131.66,128867,0,0,26548.301,43.90304815,26734.44825,,1.84467E+19,906.1876041
1686528000,26031.04,26136.16,25596.08,25879.13,136943,94,0,26415.895,42.16535611,26652.98936,,1.84467E+19,880.037061
1686614400,25886.53,26421.34,25702.93,25842.87,140916,372,0,26293.707,41.90885841,26575.83514,,1.84467E+19,868.4922709
1686700800,25760.09,26082.44,24778.26,24910.98,165243,0,0,26060.845,35.86969336,26417.27751,,1.84467E+19,899.612823
1686787200,25027.59,25481.8,24743.83,25478.59,170661,109,0,26046.217,41.4080287,26327.8787,,1.84467E+19,888.066907
1686873600,25548.53,26477.75,25086.55,26436.65,166206,423,0,25992.951,49.35781921,26338.23787,,1.84467E+19,924.0049851
1686960000,26324.5,26802.75,26155.81,26535,160424,0,0,26009.752,50.10621335,26356.97712,,1.84467E+19,904.214629
1687046400,26494.67,26684.03,26337.55,26464.97,166158,0,0,25991.003,49.5447645,26367.26216,,1.84467E+19,864.3764412
1687132800,26359.75,27033.72,26239.49,26722.61,170799,0,0,26018.254,51.68950119,26401.10481,,1.84467E+19,859.3659812
1687219200,26706.86,28249.8,26633.4,28161.11,160809,0,0,26256.357,61.52375987,26568.72435,,1.84467E+19,913.4398396
1687305600,28073.93,30778.3,28073.93,29953.4,200814,0,0,26638.531,69.77843753,26891.07441,,1.84467E+19,1041.363423
1687392000,29804.96,30502.46,29509.05,30160.62,207469,0,0,27066.68,70.56472907,27202.45971,,1.84467E+19,1037.938178
1687478400,30062.29,31421.29,29789.69,30927.75,184401,0,0,27575.168,73.33100396,27557.24926,,1.84467E+19,1080.342594
1687564800,30797.99,30812.15,30258.89,30510.83,198330,258,0,28135.153,69.50778483,27838.54266,,1.84467E+19,1050.95098
1687651200,30453.65,31051.79,30276.62,30377.45,230486,0,0,28625.039,68.28128938,28080.34336,,1.84467E+19,1031.252339
1687737600,30376.96,30663.9,29922.53,30176.79,204094,0,0,28999.053,66.38350252,28280.00495,,1.84467E+19,1010.546457
1687824000,30099.79,30998.41,30094.77,30649.58,214093,0,0,29410.511,68.59809526,28505.67876,,1.84467E+19,1002.910282
1687910400,30541.29,30741.01,29825.8,30081.72,193585,0,0,29772.186,63.21171899,28655.77793,,1.84467E+19,996.6459759
1687996800,30034.19,30822.48,30007.16,30392.59,173389,0,0,30139.184,64.8393779,28821.1886,,1.84467E+19,983.6941205
1688083200,30394.21,31262.62,29425.53,30389.54,222082,0,0,30362.027,64.80908119,28970.5554,,1.84467E+19,1044.650969
1688169600,30434.83,30660.54,30308.75,30586.29,204640,496,0,30425.316,65.91548421,29124.43489,,1.84467E+19,995.1608998
1688256000,30546.51,30669.1,30112.71,30585.97,219905,26,0,30467.851,65.91185455,29263.62871,,1.84467E+19,963.8201213
1688342400,30586.23,31397.64,30410.45,31124.3,236093,421,0,30487.506,69.00405035,29440.8355,,1.84467E+19,965.4893983
1688428800,31019.94,31332.79,30610.59,30791.81,218981,0,0,30515.604,65.07751713,29569.49973,,1.84467E+19,948.1115842
1688515200,30710.79,30881.11,30185.18,30467.06,217570,0,0,30524.565,61.40236719,29654.98166,,1.84467E+19,930.0986139
1688601600,30397.92,31514.54,29816.3,30305.28,243156,0,0,30537.414,59.5967446,29716.91484,,1.84467E+19,984.9658557
1688688000,30223.61,30452.17,29691.03,30249.27,226615,689,0,30497.383,58.95041483,29767.61533,,1.84467E+19,968.9782946
1688774400,30290.31,30391.79,30001.23,30165.54,200852,553,0,30505.765,57.93883176,29805.51292,,1.84467E+19,927.6627021
1688860800,30102.5,30451.93,30069.17,30193.35,177644,579,0,30485.841,58.19542375,29842.44978,,1.84467E+19,888.7410805
1688947200,30157.95,31059.53,29947.78,30781.44,189413,0,0,30525.031,63.29479785,29931.87742,,1.84467E+19,904.6702891
1689033600,30726.43,30806.31,30187.86,30564.76,185319,0,0,30522.878,60.37270893,29992.15195,,1.84467E+19,884.2259827
1689120000,30512.21,30970.15,30196.84,30328.83,186969,0,0,30497.164,57.27229947,30024.21653,,1.84467E+19,876.3034125
1689206400,30328.59,31847.68,30236.9,31352.16,178978,0,0,30519.95,65.53886618,30150.68734,,1.84467E+19,928.7660259
1689292800,31294.59,31636.29,29900.99,30198.84,213909,0,0,30460.653,53.07565818,30155.2733,,1.84467E+19,986.3755955
1689379200,30152.94,30397.8,30148.44,30303.39,129097,0,0,30444.286,53.93092053,30169.37966,,1.84467E+19,933.7316244
1689465600,30260,30445.13,30064.29,30273.13,210358,0,0,30441.071,53.62626554,30179.26064,,1.84467E+19,894.2393655
1689552000,30215.49,30372.71,29653.89,29929.63,179873,0,0,30409.107,50.16217442,30155.48629,,1.84467E+19,881.7094108
1689638400,29968.01,30284.31,29454.77,29774.7,172272,0,0,30370.023,48.63614005,30119.22093,,1.84467E+19,877.9830243
1689724800,29779.69,30187.49,29749.47,29958.93,145974,0,0,30346.581,50.56214371,30103.95513,,1.84467E+19,846.557094
1689811200,29903.73,30421.61,29539.18,29730.11,166606,0,0,30241.448,48.14729641,30068.35083,,1.84467E+19,849.1194445
1689897600,29673.57,30061.12,29673.57,29877.26,161545,204,0,30172.698,49.80747278,30050.15171,,1.84467E+19,816.1501984
1689984000,29892.63,30000.73,29792.46,29827.48,151035,461,0,30122.563,49.23319743,30028.94488,,1.84467E+19,772.7301842
1690070400,29780.35,30347.6,29585.4,30148.25,182482,396,0,30002.172,52.99417609,30040.30727,,1.84467E+19,771.9780282
1690156800,30129.16,30142.44,28839.83,29134.7,183772,219,0,29895.758,42.32454363,29954.05896,,1.84467E+19,810.2953119
1690243200,29127.81,29365.79,29043.44,29218.79,145252,552,0,29787.298,43.34372895,29884.03334,,1.84467E+19,775.4420754
1690329600,29147.05,29678.04,29081.98,29588.41,163429,232,0,29718.826,47.71711168,29855.87874,,1.84467E+19,762.62907
1690416000,29555.18,29660.11,29064.44,29126.61,165763,712,0,29638.524,43.22746265,29786.42457,,1.84467E+19,750.7034221
1690502400,29080.09,29536.25,29080.09,29325.01,146274,471,0,29593.555,45.59579755,29742.48033,,1.84467E+19,729.6646063
1690588800,29311.24,29400.03,29248.08,29351.98,169191,893,0,29532.86,45.92602795,29705.28982,,1.84467E+19,688.3992772
1690675200,29317.76,29446.65,28984.78,29276.09,149663,562,0,29487.458,45.09652869,29664.41365,,1.84467E+19,672.2186146
1690761600,29184.16,29524.67,29099.44,29204.24,135711,786,0,29420.156,44.28106971,29620.58759,,1.84467E+19,654.5765707
1690848000,29084.29,29341.56,28535.59,29208.29,139456,651,0,29358.237,44.34216367,29581.32115,,1.84467E+19,665.3903871
1690934400,29144,30031.26,28892.41,29102.54,179519,0,0,29253.666,43.01588617,29535.72294,,1.84467E+19,699.2089308
1691020800,28999.79,29394.09,28932.59,29280.31,135002,595,0,29268.227,45.94295287,29511.3979,,1.84467E+19,682.2297215
1691107200,29238.64,29313.09,28707.83,28882.28,155526,875,0,29234.576,40.87971121,29451.48191,,1.84467E+19,676.7318842
1691193600,28997.29,29107.8,28946.87,29038.19,144557,609,0,29179.554,43.50607192,29412.12078,,1.84467E+19,644.5024639
1691280000,28983.76,29125.35,28953.13,29075.12,161789,579,0,29174.405,44.13908962,29380.02546,,1.84467E+19,610.7680022
1691366400,29031,29180.97,28651.81,29161.81,102224,616,0,29158.085,45.67783075,29359.24304,,1.84467E+19,604.9388592
1691452800,29094.92,30000.35,29094.92,29975.26,166537,597,0,29220.413,57.50630217,29417.91132,,1.84467E+19,626.4025121
1691539200,29943.96,30226.29,29340.29,29469.45,153389,736,0,29239.749,50.18826025,29422.81977,,1.84467E+19,644.9451898
1691625600,29377.79,29710.67,29303.07,29404.67,87371,871,0,29259.792,49.32256836,29421.09122,,1.84467E+19,627.991962
1691712000,29415.58,29533.48,29143.81,29382.05,123141,704,0,29277.168,49.00470874,29417.37301,,1.84467E+19,610.9689647
1691798400,29377.92,29471.75,29347.66,29401.59,71368,637,0,29307.073,49.30861558,29415.86986,,1.84467E+19,576.1918958
1691884800,29351,29445.4,29269.18,29402.29,69480,368,0,29319.271,49.32026764,29414.57654,,1.84467E+19,547.6224747
1691971200,29406.64,29666.87,29045.81,29360.76,151013,268,0,29367.119,48.60641125,29409.45116,,1.84467E+19,552.8680122
1692057600,29286.14,29458.99,29037.44,29165.28,123755,510,0,29379.828,45.28398644,29386.19676,,1.84467E+19,543.4881542
1692144000,29062.29,29222.97,28806.54,28929.3,150780,893,0,29365.246,41.58833747,29342.68278,,1.84467E+19,534.4125717
1692230400,28849.08,28948.76,27450.31,27577.86,184494,786,0,29206.851,27.66415456,29174.60442,,1.84467E+19,603.272388
1692316800,27566.42,27680.29,24178.89,26096.95,210821,0,0,28819.02,19.82941399,28881.49448,,1.84467E+19,810.2815032
1692403200,26078.48,26257.27,25787.92,26040.34,164524,561,0,28476.109,19.6008898,28610.90834,,1.84467E+19,785.929253
1692489600,26064.54,26292.2,25961.07,26220.92,136866,588,0,28157.734,22.66266077,28383.2904,,1.84467E+19,753.443592
1692576000,26203.13,26220.72,25808.05,26112.56,172801,326,0,27830.785,22.11833619,28167.03036,,1.84467E+19,729.1169069
1692662400,26091.38,26243.29,25710.65,25851.86,153064,542,0,27475.812,20.82253784,27946.53795,,1.84467E+19,715.0828421
1692748800,25782.67,26805.23,25301.46,26580.96,164440,478,0,27193.679,32.69784125,27816.4829,,1.84467E+19,771.4176391
